[ 2026-01-22 13:45:25,967 ] 15 root - INFO - Initiate the data ingestion
[ 2026-01-22 13:45:29,766 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-01-22 13:45:29,766 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-22 13:45:29,767 ] 75 root - INFO - Exporting train and test file path.
[ 2026-01-22 13:45:29,809 ] 84 root - INFO - Exported train and test file path.
[ 2026-01-22 13:45:29,809 ] 17 root - INFO - Data Initiation Completed
[ 2026-01-22 13:45:29,815 ] 21 root - INFO - Initiate the data Validation
[ 2026-01-22 13:45:29,912 ] 33 root - INFO - Required number of columns:2
[ 2026-01-22 13:45:29,913 ] 34 root - INFO - Data frame has columns:31
[ 2026-01-22 13:45:29,913 ] 33 root - INFO - Required number of columns:2
[ 2026-01-22 13:45:29,913 ] 34 root - INFO - Data frame has columns:31
[ 2026-01-22 13:45:30,026 ] 23 root - INFO - data Validation Completed
[ 2026-01-22 13:45:30,026 ] 26 root - INFO - data Transformation started
[ 2026-01-22 13:45:30,026 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-22 13:45:30,026 ] 65 root - INFO - Starting data transformation
[ 2026-01-22 13:45:30,044 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-22 13:45:30,044 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-22 13:45:30,056 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-22 13:45:30,059 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-22 13:45:30,059 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-22 13:45:30,061 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-22 13:45:30,062 ] 30 root - INFO - data Transformation completed
[ 2026-01-22 13:45:30,062 ] 32 root - INFO - Model Training sstared
[ 2026-01-22 13:47:51,748 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-22 13:47:51,748 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-22 13:47:51,748 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-22 13:47:51,752 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-22 13:47:51,752 ] 124 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_22_2026_13_45_24\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916852565402555, precision_score=0.9880783996767024, recall_score=0.9953185426419703), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9764282860567319, precision_score=0.9706115965051628, recall_score=0.9823151125401929))
[ 2026-01-22 13:47:51,753 ] 37 root - INFO - Model Training artifact created
